OBJECTID,NEW_KEY,LAKE_NAME,COUNTY,NOTE24,FMU,ORIGIN,LONG_DD,LAT_DD,X_Coord_MG,Y_Coord_MG,,,
131,21-65,Indian Town Lake,Delta,,LMN,1,-86.83704000000,45.75026000000,434735.88138000000,577945.30603000000,,,
132,2-166,Trueman Lake,Alger,,LMN,1,-86.66399000000,46.30888000000,448711.21572000000,639883.04421000000,,,
133,21-66,Sandstrom Lake,Delta,,LMN,1,-86.93732000000,45.73082000000,426911.24564000000,575871.50241000000,,,
134,21-67,Granskog Lake,Delta,,LMN,1,-86.86621000000,45.73276000000,432446.30790000000,576025.23718000000,,,
135,2-168,Misty Lake,Alger,,LMN,1,-86.67093000000,46.30443000000,448172.39431000000,639393.63411000000,,,
136,2-169,Powell Lake,Alger,,LMN,1,-86.65065000000,46.30915000000,449738.07779000000,639905.48277000000,,,
137,2-170,Sister Lake,Alger,,LMN,1,-86.65260000000,46.31499000000,449593.69068000000,640554.80430000000,,,
138,2-172,McNeil Lake,Alger,,LMN,1,-86.63093000000,46.28915000000,451239.14837000000,637671.11538000000,,,
139,2-173,Sphagnum Lake,Alger,,LMN,1,-86.63136000000,46.29501000000,451211.58377000000,638322.37716000000,,,
140,2-177,Lost Lake,Alger,,LMN,1,-86.65788000000,46.29610000000,449170.05302000000,638459.39892000000,,,
141,2-181,Hovey Lake,Alger,,LMN,1,-86.70315000000,46.29554000000,445682.40408000000,638427.45582000000,,,
142,2-186,Shallow Lake,Alger,,LMN,1,-86.73760000000,46.28026000000,443013.97587000000,636753.89490000000,,,
143,2-188,Mirror Lake,Alger,,LMN,1,-86.68510000000,46.27582000000,447054.20279000000,636223.97316000000,,,
144,2-189,Muddy Lake,Alger,,LMN,1,-86.66538000000,46.28193000000,448579.32048000000,636890.10782000000,,,
145,21-89,Second Lake,Delta,,LMN,1,-87.32176000000,45.73415000000,397006.43395000000,576664.42441000000,,,
146,21-9,Mud Lake,Delta,,LMN,1,-86.67938000000,45.68507000000,446937.03063000000,570586.03818000000,,,
147,2-190,Grimes Lake,Alger,,LMN,1,-86.66260000000,46.27415000000,448786.15554000000,636024.23764000000,,,
148,21-92,Warner Lake,Delta,,LMN,1,-86.51426000000,45.88415000000,459936.32075000000,592608.70527000000,,,
149,2-193,Peck Lake,Alger,,LMN,1,-86.64482000000,46.28082000000,450161.86585000000,636753.67708000000,,,
150,21-93,Cousineau Lake,Delta,,LMN,1,-86.53232000000,45.89276000000,458541.75420000000,593574.56458000000,,,
151,2-194,Als Lake,Alger,,LMN,1,-86.63645000000,46.27629000000,450802.69862000000,636245.65027000000,,,
152,2-195-196,Garvey Ponds,Alger,,LMN,1,-86.62361000000,46.28325000000,451797.71157000000,637010.50400000000,,,
153,2-200,Big Twin Lake,Alger,,LMN,1,-86.63732000000,46.26943000000,450729.54904000000,635483.62303000000,,,
154,2-202,Upper Twin Lake,Alger,,LMN,1,-86.64204000000,46.27304000000,450368.92978000000,635887.86085000000,,,
155,2-204,Cherry Lake,Alger,,LMN,1,-86.65455000000,46.26041000000,449393.81991000000,634491.82145000000,,,
156,2-209,Hartney Lake,Alger,,LMN,1,-86.67288000000,46.26610000000,447986.73093000000,635135.77121000000,,,
157,2-210,Doe Lake,Alger,,LMN,1,-86.67677000000,46.26026000000,447681.56114000000,634490.21041000000,,,
158,22-100,Fumee Lake,Dickinson,,LMN,1,-87.97621000000,45.82610000000,346347.05166000000,587929.89874000000,,,
159,22-102,Chapin Mine,Dickinson,,LMN,9,-88.06454000000,45.82499000000,339483.58458000000,587980.44762000000,,,
160,22-105,Little Fumee Lake,Dickinson,,LMN,1,-87.95704000000,45.82026000000,347819.72710000000,587245.17927000000,,,
161,22-108,Little Badwater Lake,Dickinson,,LMN,5,-88.07426000000,45.88082000000,338890.00301000000,594202.40883000000,,,
162,22-109,Badwater Lake,Dickinson,,LMN,5,-88.08176000000,45.88526000000,338321.01760000000,594711.38193000000,,,
163,22-114,Dyer Lake,Dickinson,,LMN,1,-88.09346000000,45.89460000000,337440.98132000000,595772.84192000000,,,
164,2-212,Ready Lake,Alger,,LMN,1,-86.71121000000,46.26276000000,445029.58874000000,634791.05416000000,,,
165,22-120,Bass Lake,Dickinson,,LMN,1,-88.07288000000,45.85332000000,338918.23904000000,591144.69555000000,,,
166,22-124,Cowboy Lake,Dickinson,,LMN,5,-88.12482000000,45.81137000000,334761.78328000000,586591.55167000000,,,
167,22-127,Crystal Lake,Dickinson,,LMN,1,-88.07815000000,45.81165000000,338387.77481000000,586526.80916000000,,,
168,22-13,Louise Lake,Dickinson,,LMN,1,-87.80899000000,45.75026000000,359143.22820000000,579197.19151000000,,,
169,22-133,East Lake,Dickinson,,LMN,1,-87.71399000000,45.90999000000,366912.96860000000,596777.86358000000,,,
170,22-134,Roosevelt Lake,Dickinson,,LMN,1,-87.85121000000,45.93026000000,356324.03924000000,599268.71949000000,,,
171,22-135,Moose Lake,Dickinson,,LMN,1,-87.81398000000,45.93772000000,359229.19740000000,600030.33666000000,,,
172,22-139,Brown Lake,Dickinson,,LMN,1,-87.78676000000,45.92221000000,361299.61591000000,598259.63975000000,,,
173,22-14,Mary Lake,Dickinson,,LMN,2,-87.81926000000,45.75110000000,358346.00257000000,579307.90330000000,,,
174,22-146,Toby Lake,Dickinson,,LMN,1,-87.94482000000,45.96526000000,349162.46327000000,603329.87380000000,,,
175,22-149,Little Crystal Lake,Dickinson,,LMN,1,-87.91621000000,45.94749000000,351331.37864000000,601301.13819000000,,,
176,22-15,Hamilton Lake,Dickinson,,LMN,2,-87.78482000000,45.75499000000,361034.46877000000,579679.43461000000,,,
177,22-150,Crystal Lake,Dickinson,,LMN,1,-87.92204000000,45.94721000000,350878.60837000000,601281.15577000000,,,
178,22-151,Lost Lake,Dickinson,,LMN,1,-87.94204000000,45.92665000000,349272.99676000000,599035.34060000000,,,
179,22-152,Lyons Lake,Dickinson,,LMN,2,-87.87454000000,45.92832000000,354510.20111000000,599094.97317000000,,,
180,22-153,Moon Lake,Dickinson,,LMN,1,-87.87890000000,45.93235000000,354182.82347000000,599550.27276000000,,,
181,22-154,Scott Lake,Dickinson,,LMN,1,-87.93121000000,45.92415000000,350106.06980000000,598737.18394000000,,,
182,22-156,Little Lost Lake,Dickinson,,LMN,1,-87.93649000000,45.91665000000,349676.61424000000,597913.95419000000,,,
183,22-161,Browning Lake,Dickinson,,LMN,1,-88.09096000000,45.94385000000,337778.46083000000,601238.70218000000,,,
184,22-163,Bradford Lake,Dickinson,,LMN,1,-88.08854000000,45.93325000000,337935.41547000000,600056.27555000000,,,
185,2-217,Shady Lake,Alger,,LMN,1,-86.68538000000,46.25860000000,447016.35856000000,634310.65402000000,,,
186,22-173,Marsh Lake,Dickinson,,LMN,1,-87.66454000000,46.04304000000,371056.40358000000,611478.16905000000,,,
187,22-180,Mud Lake,Dickinson,,LMN,1,-88.07454000000,45.81526000000,338678.81252000000,586920.63303000000,,,
188,22-181,Norway Lake,Dickinson,,LMN,1,-87.83621000000,46.06971000000,357844.36905000000,614732.78852000000,,,
189,22-182,Gene Pond,Dickinson,,LMN,1,-87.86676000000,46.06887000000,355479.50505000000,614695.27981000000,,,
190,22-186,Spruce Lake,Dickinson,,LMN,1,-87.74454000000,45.99304000000,364745.64107000000,606056.15600000000,,,
191,22-187,Solberg Lake,Dickinson,,LMN,1,-87.96788000000,46.02721000000,347546.61237000000,610255.11714000000,,,
192,22-188,Sixmile Lake,Dickinson,,LMN,2,-87.91426000000,46.02193000000,351681.03244000000,609567.50080000000,,,
193,2-220,Halfmoon Lake,Alger,,LMN,1,-86.65649000000,46.25471000000,449239.22718000000,633859.84825000000,,,
194,22-20,Red Dam Lake,Dickinson,,LMN,1,-87.79593000000,45.73693000000,360125.27766000000,577692.97890000000,,,
195,22-203,Tobey Lake,Dickinson,,LMN,1,-88.09454000000,46.05332000000,337821.49321000000,613406.20675000000,,,
196,22-207,Section Nine Lake,Dickinson,,LMN,1,-88.05482000000,46.05276000000,340892.16326000000,613264.32853000000,,,
197,2-221,Rock Lake,Alger,,LMN,1,-86.65815000000,46.24915000000,449105.65928000000,633243.70042000000,,,
198,22-210,Tamarack Lake,Dickinson,,LMN,1,-88.03565000000,46.05054000000,342368.23850000000,612979.33340000000,,,
