Water_Body_Key,Survey_Number,Collection_Date,Survey_Purpose,SP,LENGTH_IN,AGE,METHOD,Water_Body_Name,New_Key
12699,3408,5/30/02,Status & Trends,BLG,9.3,7,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,9.6,7,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,9.5,8,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,8.8,8,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,9.2,8,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,9.1,8,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,9.5,8,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,9.4,9,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,10,9,,Thompson Lake,78-151
12699,3408,5/31/02,Status & Trends,BLG,10,9,,Thompson Lake,78-151
12699,3408,5/31/02,Status & Trends,BLG,10,9,,Thompson Lake,78-151
12337,3409,6/20/02,Status & Trends,BLG,1.5,1,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,1.7,1,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,1.5,1,,Round Lake,30-276
12337,3409,6/21/02,Status & Trends,BLG,1.7,1,,Round Lake,30-276
12337,3409,6/21/02,Status & Trends,BLG,1.8,1,,Round Lake,30-276
12337,3409,6/21/02,Status & Trends,BLG,1.5,1,,Round Lake,30-276
12337,3409,6/18/02,Status & Trends,BLG,1.8,1,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,2.6,2,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,2.5,2,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,2.3,2,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,2.3,2,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,2.1,2,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,3.6,2,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,2.3,2,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,2.3,2,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,2.3,2,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,2.7,2,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,2.3,2,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,3.1,2,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,1.7,2,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,3.5,2,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,3.2,2,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,1.9,2,,Round Lake,30-276
12337,3409,6/20/02,Status & Trends,BLG,3.3,2,,Round Lake,30-276
